YEAR,MO,DY,HR,T2M;
2015,3,24,21,9.82;
2015,3,24,22,9.69;
2015,3,24,23,9.3;
2015,3,25,0,9.1;
2015,3,25,1,9.0;
2015,3,25,2,9.17;
2015,3,25,3,9.4;
2015,3,25,4,9.51;
2015,3,25,5,9.61;
2015,3,25,6,9.82;
2015,3,25,7,10.14;
2015,3,25,8,10.44;
2015,3,25,9,10.62;
2015,3,25,10,10.58;
2015,3,25,11,10.67;
2015,3,25,12,10.9;
2015,3,25,13,11.09;
2015,3,25,14,11.18;
2015,3,25,15,11.19;
2015,3,25,16,11.01;
2015,3,25,17,10.73;
2015,3,25,18,10.51;
2015,3,25,19,10.37;
2015,3,25,20,10.18;
2015,3,25,21,9.99;
2015,3,25,22,10.13;
2015,3,25,23,10.63;
2015,3,26,0,11.13;
2015,3,26,1,11.31;
2015,3,26,2,11.51;
2015,3,26,3,11.7;
2015,3,26,4,11.71;
2015,3,26,5,11.58;
2015,3,26,6,11.53;
2015,3,26,7,11.76;
2015,3,26,8,12.27;
2015,3,26,9,12.74;
2015,3,26,10,13.05;
2015,3,26,11,13.2;
2015,3,26,12,13.14;
2015,3,26,13,13.02;
2015,3,26,14,12.96;
2015,3,26,15,12.86;
2015,3,26,16,12.67;
2015,3,26,17,12.23;
2015,3,26,18,11.94;
2015,3,26,19,11.82;
2015,3,26,20,11.33;
2015,3,26,21,10.82;
2015,3,26,22,10.43;
2015,3,26,23,10.2;
2015,3,27,0,10.03;
2015,3,27,1,9.91;
2015,3,27,2,9.86;
2015,3,27,3,9.84;
2015,3,27,4,9.82;
2015,3,27,5,9.74;
2015,3,27,6,9.56;
2015,3,27,7,9.54;
2015,3,27,8,9.8;
2015,3,27,9,10.15;
2015,3,27,10,10.4;
2015,3,27,11,10.63;
2015,3,27,12,10.99;
2015,3,27,13,11.45;
2015,3,27,14,11.94;
2015,3,27,15,12.27;
2015,3,27,16,12.14;
2015,3,27,17,11.36;
2015,3,27,18,9.8;
2015,3,27,19,9.53;
2015,3,27,20,9.74;
2015,3,27,21,9.87;
2015,3,27,22,9.78;
2015,3,27,23,9.63;
2015,3,28,0,9.33;
2015,3,28,1,8.94;
2015,3,28,2,8.61;
2015,3,28,3,8.43;
2015,3,28,4,8.29;
2015,3,28,5,8.19;
2015,3,28,6,8.55;
2015,3,28,7,10.23;
2015,3,28,8,11.85;
2015,3,28,9,13.02;
2015,3,28,10,13.78;
2015,3,28,11,14.52;
2015,3,28,12,15.2;
2015,3,28,13,15.6;
2015,3,28,14,15.51;
2015,3,28,15,15.01;
2015,3,28,16,14.46;
2015,3,28,17,13.34;
2015,3,28,18,11.67;
2015,3,28,19,11.29;
2015,3,28,20,11.33;
2015,3,28,21,11.4;
2015,3,28,22,10.88;
2015,3,28,23,10.06;
2015,3,29,0,9.47;
2015,3,29,1,9.04;
2015,3,29,2,8.61;
2015,3,29,3,8.29;
2015,3,29,4,7.82;
2015,3,29,5,7.19;
2015,3,29,6,7.4;
2015,3,29,7,9.13;
2015,3,29,8,10.4;
2015,3,29,9,11.96;
2015,3,29,10,12.96;
2015,3,29,11,13.41;
2015,3,29,12,13.44;
2015,3,29,13,13.55;
2015,3,29,14,13.53;
2015,3,29,15,13.36;
2015,3,29,16,12.95;
2015,3,29,17,11.97;
2015,3,29,18,10.73;
2015,3,29,19,10.26;
2015,3,29,20,9.83;
2015,3,29,21,9.58;
2015,3,29,22,9.7;
2015,3,29,23,10.11;
2015,3,30,0,10.39;
2015,3,30,1,10.51;
2015,3,30,2,10.51;
2015,3,30,3,10.56;
2015,3,30,4,10.34;
2015,3,30,5,9.59;
2015,3,30,6,9.34;
2015,3,30,7,10.37;
2015,3,30,8,11.46;
2015,3,30,9,12.61;
2015,3,30,10,13.6;
2015,3,30,11,14.6;
2015,3,30,12,15.52;
2015,3,30,13,16.21;
2015,3,30,14,16.55;
2015,3,30,15,16.51;
2015,3,30,16,16.14;
2015,3,30,17,15.4;
2015,3,30,18,14.09;
2015,3,30,19,12.93;
2015,3,30,20,11.93;
2015,3,30,21,10.97;
2015,3,30,22,10.4;
2015,3,30,23,10.15;
2015,3,31,0,9.95;
2015,3,31,1,9.81;
2015,3,31,2,9.95;
2015,3,31,3,10.15;
2015,3,31,4,9.37;
2015,3,31,5,8.29;
2015,3,31,6,8.76;
2015,3,31,7,10.51;
2015,3,31,8,11.83;
2015,3,31,9,13.3;
2015,3,31,10,14.28;
2015,3,31,11,14.96;
2015,3,31,12,15.54;
2015,3,31,13,16.16;
2015,3,31,14,16.95;
2015,3,31,15,17.56;
2015,3,31,16,17.55;
2015,3,31,17,16.62;
2015,3,31,18,15.17;
2015,3,31,19,14.23;
2015,3,31,20,13.56;
2015,3,31,21,13.28;
2015,3,31,22,12.55;
2015,3,31,23,11.42;
2015,4,1,0,11.26;
